"id","parent_id:id","code","name"
"nace_root","","","NACE"
"nace_A","nace_root","A","AGRICULTURE, FORESTRY AND FISHING"
"nace_01","nace_A","01","Crop and animal production, hunting and related service activities"
"nace_01_1","nace_01","01.1","Growing of non-perennial crops"
"nace_01_11","nace_01_1","01.11","Growing of cereals (except rice), leguminous crops and oil seeds"
"nace_01_12","nace_01_1","01.12","Growing of rice"
"nace_01_13","nace_01_1","01.13","Growing of vegetables and melons, roots and tubers"
"nace_01_14","nace_01_1","01.14","Growing of sugar cane"
"nace_01_15","nace_01_1","01.15","Growing of tobacco"
"nace_01_16","nace_01_1","01.16","Growing of fibre crops"
"nace_01_19","nace_01_1","01.19","Growing of other non-perennial crops"
"nace_01_2","nace_01","01.2","Growing of perennial crops"
"nace_01_21","nace_01_2","01.21","Growing of grapes"
"nace_01_22","nace_01_2","01.22","Growing of tropical and subtropical fruits"
"nace_01_23","nace_01_2","01.23","Growing of citrus fruits"
"nace_01_24","nace_01_2","01.24","Growing of pome fruits and stone fruits"
"nace_01_25","nace_01_2","01.25","Growing of other tree and bush fruits and nuts"
"nace_01_26","nace_01_2","01.26","Growing of oleaginous fruits"
"nace_01_27","nace_01_2","01.27","Growing of beverage crops"
"nace_01_28","nace_01_2","01.28","Growing of spices, aromatic, drug and pharmaceutical crops"
"nace_01_29","nace_01_2","01.29","Growing of other perennial crops"
"nace_01_3","nace_01","01.3","Plant propagation"
"nace_01_30","nace_01_3","01.30","Plant propagation"
"nace_01_4","nace_01","01.4","Animal production"
"nace_01_41","nace_01_4","01.41","Raising of dairy cattle"
"nace_01_42","nace_01_4","01.42","Raising of other cattle and buffaloes"
"nace_01_43","nace_01_4","01.43","Raising of horses and other equines"
"nace_01_44","nace_01_4","01.44","Raising of camels and camelids"
"nace_01_45","nace_01_4","01.45","Raising of sheep and goats"
"nace_01_46","nace_01_4","01.46","Raising of swine/pigs"
"nace_01_47","nace_01_4","01.47","Raising of poultry"
"nace_01_49","nace_01_4","01.49","Raising of other animals"
"nace_01_5","nace_01","01.5","Mixed farming"
"nace_01_50","nace_01_5","01.50","Mixed farming"
"nace_01_6","nace_01","01.6","Support activities to agriculture and post-harvest crop activities"
"nace_01_61","nace_01_6","01.61","Support activities for crop production"
"nace_01_62","nace_01_6","01.62","Support activities for animal production"
"nace_01_63","nace_01_6","01.63","Post-harvest crop activities"
"nace_01_64","nace_01_6","01.64","Seed processing for propagation"
"nace_01_7","nace_01","01.7","Hunting, trapping and related service activities"
"nace_01_70","nace_01_7","01.70","Hunting, trapping and related service activities"
"nace_02","nace_A","02","Forestry and logging"
"nace_02_1","nace_02","02.1","Silviculture and other forestry activities"
"nace_02_10","nace_02_1","02.10","Silviculture and other forestry activities"
"nace_02_2","nace_02","02.2","Logging"
"nace_02_20","nace_02_2","02.20","Logging"
"nace_02_3","nace_02","02.3","Gathering of wild growing non-wood products"
"nace_02_30","nace_02_3","02.30","Gathering of wild growing non-wood products"
"nace_02_4","nace_02","02.4","Support services to forestry"
"nace_02_40","nace_02_4","02.40","Support services to forestry"
"nace_03","nace_A","03","Fishing and aquaculture"
"nace_03_1","nace_03","03.1","Fishing"
"nace_03_11","nace_03_1","03.11","Marine fishing"
"nace_03_12","nace_03_1","03.12","Freshwater fishing"
"nace_03_2","nace_03","03.2","Aquaculture"
"nace_03_21","nace_03_2","03.21","Marine aquaculture"
"nace_03_22","nace_03_2","03.22","Freshwater aquaculture"
"nace_B","nace_root","B","MINING AND QUARRYING"
"nace_05","nace_B","05","Mining of coal and lignite"
"nace_05_1","nace_05","05.1","Mining of hard coal"
"nace_05_10","nace_05_1","05.10","Mining of hard coal"
"nace_05_2","nace_05","05.2","Mining of lignite"
"nace_05_20","nace_05_2","05.20","Mining of lignite"
"nace_06","nace_B","06","Extraction of crude petroleum and natural gas"
"nace_06_1","nace_06","06.1","Extraction of crude petroleum"
"nace_06_10","nace_06_1","06.10","Extraction of crude petroleum"
"nace_06_2","nace_06","06.2","Extraction of natural gas"
"nace_06_20","nace_06_2","06.20","Extraction of natural gas"
"nace_07","nace_B","07","Mining of metal ores"
"nace_07_1","nace_07","07.1","Mining of iron ores"
"nace_07_10","nace_07_1","07.10","Mining of iron ores"
"nace_07_2","nace_07","07.2","Mining of non-ferrous metal ores"
"nace_07_21","nace_07_2","07.21","Mining of uranium and thorium ores"
"nace_07_29","nace_07_2","07.29","Mining of other non-ferrous metal ores"
"nace_08","nace_B","08","Other mining and quarrying"
"nace_08_1","nace_08","08.1","Quarrying of stone, sand and clay"
"nace_08_11","nace_08_1","08.11","Quarrying of ornamental and building stone, limestone, gypsum, chalk and slate"
"nace_08_12","nace_08_1","08.12","Operation of gravel and sand pits; mining of clays and kaolin"
"nace_08_9","nace_08","08.9","Mining and quarrying n.e.c."
"nace_08_91","nace_08_9","08.91","Mining of chemical and fertiliser minerals"
"nace_08_92","nace_08_9","08.92","Extraction of peat"
"nace_08_93","nace_08_9","08.93","Extraction of salt"
"nace_08_99","nace_08_9","08.99","Other mining and quarrying n.e.c."
"nace_09","nace_B","09","Mining support service activities"
"nace_09_1","nace_09","09.1","Support activities for petroleum and natural gas extraction"
"nace_09_10","nace_09_1","09.10","Support activities for petroleum and natural gas extraction"
"nace_09_9","nace_09","09.9","Support activities for other mining and quarrying"
"nace_09_90","nace_09_9","09.90","Support activities for other mining and quarrying"
"nace_C","nace_root","C","MANUFACTURING"
"nace_10","nace_C","10","Manufacture of food products"
"nace_10_1","nace_10","10.1","Processing and preserving of meat and production of meat products"
"nace_10_11","nace_10_1","10.11","Processing and preserving of meat"
"nace_10_12","nace_10_1","10.12","Processing and preserving of poultry meat"
"nace_10_13","nace_10_1","10.13","Production of meat and poultry meat products"
"nace_10_2","nace_10","10.2","Processing and preserving of fish, crustaceans and molluscs"
"nace_10_20","nace_10_2","10.20","Processing and preserving of fish, crustaceans and molluscs"
"nace_10_3","nace_10","10.3","Processing and preserving of fruit and vegetables"
"nace_10_31","nace_10_3","10.31","Processing and preserving of potatoes"
"nace_10_32","nace_10_3","10.32","Manufacture of fruit and vegetable juice"
"nace_10_39","nace_10_3","10.39","Other processing and preserving of fruit and vegetables"
"nace_10_4","nace_10","10.4","Manufacture of vegetable and animal oils and fats"
"nace_10_41","nace_10_4","10.41","Manufacture of oils and fats"
"nace_10_42","nace_10_4","10.42","Manufacture of margarine and similar edible fats"
"nace_10_5","nace_10","10.5","Manufacture of dairy products"
"nace_10_51","nace_10_5","10.51","Operation of dairies and cheese making"
"nace_10_52","nace_10_5","10.52","Manufacture of ice cream"
"nace_10_6","nace_10","10.6","Manufacture of grain mill products, starches and starch products"
"nace_10_61","nace_10_6","10.61","Manufacture of grain mill products"
"nace_10_62","nace_10_6","10.62","Manufacture of starches and starch products"
"nace_10_7","nace_10","10.7","Manufacture of bakery and farinaceous products"
"nace_10_71","nace_10_7","10.71","Manufacture of bread; manufacture of fresh pastry goods and cakes"
"nace_10_72","nace_10_7","10.72","Manufacture of rusks and biscuits; manufacture of preserved pastry goods and cakes"
"nace_10_73","nace_10_7","10.73","Manufacture of macaroni, noodles, couscous and similar farinaceous products"
"nace_10_8","nace_10","10.8","Manufacture of other food products"
"nace_10_81","nace_10_8","10.81","Manufacture of sugar"
"nace_10_82","nace_10_8","10.82","Manufacture of cocoa, chocolate and sugar confectionery"
"nace_10_83","nace_10_8","10.83","Processing of tea and coffee"
"nace_10_84","nace_10_8","10.84","Manufacture of condiments and seasonings"
"nace_10_85","nace_10_8","10.85","Manufacture of prepared meals and dishes"
"nace_10_86","nace_10_8","10.86","Manufacture of homogenised food preparations and dietetic food"
"nace_10_89","nace_10_8","10.89","Manufacture of other food products n.e.c."
"nace_10_9","nace_10","10.9","Manufacture of prepared animal feeds"
"nace_10_91","nace_10_9","10.91","Manufacture of prepared feeds for farm animals"
"nace_10_92","nace_10_9","10.92","Manufacture of prepared pet foods"
"nace_11","nace_C","11","Manufacture of beverages"
"nace_11_0","nace_11","11.0","Manufacture of beverages"
"nace_11_01","nace_11_0","11.01","Distilling, rectifying and blending of spirits"
"nace_11_02","nace_11_0","11.02","Manufacture of wine from grape"
"nace_11_03","nace_11_0","11.03","Manufacture of cider and other fruit wines"
"nace_11_04","nace_11_0","11.04","Manufacture of other non-distilled fermented beverages"
"nace_11_05","nace_11_0","11.05","Manufacture of beer"
"nace_11_06","nace_11_0","11.06","Manufacture of malt"
"nace_11_07","nace_11_0","11.07","Manufacture of soft drinks; production of mineral waters and other bottled waters"
"nace_12","nace_C","12","Manufacture of tobacco products"
"nace_12_0","nace_12","12.0","Manufacture of tobacco products"
"nace_12_00","nace_12_0","12.00","Manufacture of tobacco products"
"nace_13","nace_C","13","Manufacture of textiles"
"nace_13_1","nace_13","13.1","Preparation and spinning of textile fibres"
"nace_13_10","nace_13_1","13.10","Preparation and spinning of textile fibres"
"nace_13_2","nace_13","13.2","Weaving of textiles"
"nace_13_20","nace_13_2","13.20","Weaving of textiles"
"nace_13_3","nace_13","13.3","Finishing of textiles"
"nace_13_30","nace_13_3","13.30","Finishing of textiles"
"nace_13_9","nace_13","13.9","Manufacture of other textiles"
"nace_13_91","nace_13_9","13.91","Manufacture of knitted and crocheted fabrics"
"nace_13_92","nace_13_9","13.92","Manufacture of made-up textile articles, except apparel"
"nace_13_93","nace_13_9","13.93","Manufacture of carpets and rugs"
"nace_13_94","nace_13_9","13.94","Manufacture of cordage, rope, twine and netting"
"nace_13_95","nace_13_9","13.95","Manufacture of non-wovens and articles made from non-wovens, except apparel"
"nace_13_96","nace_13_9","13.96","Manufacture of other technical and industrial textiles"
"nace_13_99","nace_13_9","13.99","Manufacture of other textiles n.e.c."
"nace_14","nace_C","14","Manufacture of wearing apparel"
"nace_14_1","nace_14","14.1","Manufacture of wearing apparel, except fur apparel"
"nace_14_11","nace_14_1","14.11","Manufacture of leather clothes"
"nace_14_12","nace_14_1","14.12","Manufacture of workwear"
"nace_14_13","nace_14_1","14.13","Manufacture of other outerwear"
"nace_14_14","nace_14_1","14.14","Manufacture of underwear"
"nace_14_19","nace_14_1","14.19","Manufacture of other wearing apparel and accessories"
"nace_14_2","nace_14","14.2","Manufacture of articles of fur"
"nace_14_20","nace_14_2","14.20","Manufacture of articles of fur"
"nace_14_3","nace_14","14.3","Manufacture of knitted and crocheted apparel"
"nace_14_31","nace_14_3","14.31","Manufacture of knitted and crocheted hosiery"
"nace_14_39","nace_14_3","14.39","Manufacture of other knitted and crocheted apparel"
"nace_15","nace_C","15","Manufacture of leather and related products"
"nace_15_1","nace_15","15.1","Tanning and dressing of leather; manufacture of luggage, handbags, saddlery and harness; dressing and dyeing of fur"
"nace_15_11","nace_15_1","15.11","Tanning and dressing of leather; dressing and dyeing of fur"
"nace_15_12","nace_15_1","15.12","Manufacture of luggage, handbags and the like, saddlery and harness"
"nace_15_2","nace_15","15.2","Manufacture of footwear"
"nace_15_20","nace_15_2","15.20","Manufacture of footwear"
"nace_16","nace_C","16","Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials"
"nace_16_1","nace_16","16.1","Sawmilling and planing of wood"
"nace_16_10","nace_16_1","16.10","Sawmilling and planing of wood"
"nace_16_2","nace_16","16.2","Manufacture of products of wood, cork, straw and plaiting materials"
"nace_16_21","nace_16_2","16.21","Manufacture of veneer sheets and wood-based panels"
"nace_16_22","nace_16_2","16.22","Manufacture of assembled parquet floors"
"nace_16_23","nace_16_2","16.23","Manufacture of other builders' carpentry and joinery"
"nace_16_24","nace_16_2","16.24","Manufacture of wooden containers"
"nace_16_29","nace_16_2","16.29","Manufacture of other products of wood; manufacture of articles of cork, straw and plaiting materials"
"nace_17","nace_C","17","Manufacture of paper and paper products"
"nace_17_1","nace_17","17.1","Manufacture of pulp, paper and paperboard"
"nace_17_11","nace_17_1","17.11","Manufacture of pulp"
"nace_17_12","nace_17_1","17.12","Manufacture of paper and paperboard"
"nace_17_2","nace_17","17.2","Manufacture of articles of paper and paperboard "
"nace_17_21","nace_17_2","17.21","Manufacture of corrugated paper and paperboard and of containers of paper and paperboard"
"nace_17_22","nace_17_2","17.22","Manufacture of household and sanitary goods and of toilet requisites"
"nace_17_23","nace_17_2","17.23","Manufacture of paper stationery"
"nace_17_24","nace_17_2","17.24","Manufacture of wallpaper"
"nace_17_29","nace_17_2","17.29","Manufacture of other articles of paper and paperboard"
"nace_18","nace_C","18","Printing and reproduction of recorded media"
"nace_18_1","nace_18","18.1","Printing and service activities related to printing"
"nace_18_11","nace_18_1","18.11","Printing of newspapers"
"nace_18_12","nace_18_1","18.12","Other printing"
"nace_18_13","nace_18_1","18.13","Pre-press and pre-media services"
"nace_18_14","nace_18_1","18.14","Binding and related services"
"nace_18_2","nace_18","18.2","Reproduction of recorded media"
"nace_18_20","nace_18_2","18.20","Reproduction of recorded media"
"nace_19","nace_C","19","Manufacture of coke and refined petroleum products"
"nace_19_1","nace_19","19.1","Manufacture of coke oven products"
"nace_19_10","nace_19_1","19.10","Manufacture of coke oven products"
"nace_19_2","nace_19","19.2","Manufacture of refined petroleum products"
"nace_19_20","nace_19_2","19.20","Manufacture of refined petroleum products"
"nace_20","nace_C","20","Manufacture of chemicals and chemical products"
"nace_20_1","nace_20","20.1","Manufacture of basic chemicals, fertilisers and nitrogen compounds, plastics and synthetic rubber in primary forms"
"nace_20_11","nace_20_1","20.11","Manufacture of industrial gases"
"nace_20_12","nace_20_1","20.12","Manufacture of dyes and pigments"
"nace_20_13","nace_20_1","20.13","Manufacture of other inorganic basic chemicals"
"nace_20_14","nace_20_1","20.14","Manufacture of other organic basic chemicals"
"nace_20_15","nace_20_1","20.15","Manufacture of fertilisers and nitrogen compounds"
"nace_20_16","nace_20_1","20.16","Manufacture of plastics in primary forms"
"nace_20_17","nace_20_1","20.17","Manufacture of synthetic rubber in primary forms"
"nace_20_2","nace_20","20.2","Manufacture of pesticides and other agrochemical products"
"nace_20_20","nace_20_2","20.20","Manufacture of pesticides and other agrochemical products"
"nace_20_3","nace_20","20.3","Manufacture of paints, varnishes and similar coatings, printing ink and mastics"
"nace_20_30","nace_20_3","20.30","Manufacture of paints, varnishes and similar coatings, printing ink and mastics"
"nace_20_4","nace_20","20.4","Manufacture of soap and detergents, cleaning and polishing preparations, perfumes and toilet preparations"
"nace_20_41","nace_20_4","20.41","Manufacture of soap and detergents, cleaning and polishing preparations"
"nace_20_42","nace_20_4","20.42","Manufacture of perfumes and toilet preparations"
"nace_20_5","nace_20","20.5","Manufacture of other chemical products"
"nace_20_51","nace_20_5","20.51","Manufacture of explosives"
"nace_20_52","nace_20_5","20.52","Manufacture of glues"
"nace_20_53","nace_20_5","20.53","Manufacture of essential oils"
"nace_20_59","nace_20_5","20.59","Manufacture of other chemical products n.e.c."
"nace_20_6","nace_20","20.6","Manufacture of man-made fibres"
"nace_20_60","nace_20_6","20.60","Manufacture of man-made fibres"
"nace_21","nace_C","21","Manufacture of basic pharmaceutical products and pharmaceutical preparations"
"nace_21_1","nace_21","21.1","Manufacture of basic pharmaceutical products"
"nace_21_10","nace_21_1","21.10","Manufacture of basic pharmaceutical products"
"nace_21_2","nace_21","21.2","Manufacture of pharmaceutical preparations"
"nace_21_20","nace_21_2","21.20","Manufacture of pharmaceutical preparations"
"nace_22","nace_C","22","Manufacture of rubber and plastic products"
"nace_22_1","nace_22","22.1","Manufacture of rubber products"
"nace_22_11","nace_22_1","22.11","Manufacture of rubber tyres and tubes; retreading and rebuilding of rubber tyres"
"nace_22_19","nace_22_1","22.19","Manufacture of other rubber products"
"nace_22_2","nace_22","22.2","Manufacture of plastic products"
"nace_22_21","nace_22_2","22.21","Manufacture of plastic plates, sheets, tubes and profiles"
"nace_22_22","nace_22_2","22.22","Manufacture of plastic packing goods"
"nace_22_23","nace_22_2","22.23","Manufacture of buildersâ€™ ware of plastic"
"nace_22_29","nace_22_2","22.29","Manufacture of other plastic products"
"nace_23","nace_C","23","Manufacture of other non-metallic mineral products"
"nace_23_1","nace_23","23.1","Manufacture of glass and glass products"
"nace_23_11","nace_23_1","23.11","Manufacture of flat glass"
"nace_23_12","nace_23_1","23.12","Shaping and processing of flat glass"
"nace_23_13","nace_23_1","23.13","Manufacture of hollow glass"
"nace_23_14","nace_23_1","23.14","Manufacture of glass fibres"
"nace_23_19","nace_23_1","23.19","Manufacture and processing of other glass, including technical glassware"
"nace_23_2","nace_23","23.2","Manufacture of refractory products"
"nace_23_20","nace_23_2","23.20","Manufacture of refractory products"
"nace_23_3","nace_23","23.3","Manufacture of clay building materials"
"nace_23_31","nace_23_3","23.31","Manufacture of ceramic tiles and flags"
"nace_23_32","nace_23_3","23.32","Manufacture of bricks, tiles and construction products, in baked clay"
"nace_23_4","nace_23","23.4","Manufacture of other porcelain and ceramic products"
"nace_23_41","nace_23_4","23.41","Manufacture of ceramic household and ornamental articles"
"nace_23_42","nace_23_4","23.42","Manufacture of ceramic sanitary fixtures"
"nace_23_43","nace_23_4","23.43","Manufacture of ceramic insulators and insulating fittings"
"nace_23_44","nace_23_4","23.44","Manufacture of other technical ceramic products"
"nace_23_49","nace_23_4","23.49","Manufacture of other ceramic products"
"nace_23_5","nace_23","23.5","Manufacture of cement, lime and plaster"
"nace_23_51","nace_23_5","23.51","Manufacture of cement"
"nace_23_52","nace_23_5","23.52","Manufacture of lime and plaster"
"nace_23_6","nace_23","23.6","Manufacture of articles of concrete, cement and plaster"
"nace_23_61","nace_23_6","23.61","Manufacture of concrete products for construction purposes"
"nace_23_62","nace_23_6","23.62","Manufacture of plaster products for construction purposes"
"nace_23_63","nace_23_6","23.63","Manufacture of ready-mixed concrete"
"nace_23_64","nace_23_6","23.64","Manufacture of mortars"
"nace_23_65","nace_23_6","23.65","Manufacture of fibre cement"
"nace_23_69","nace_23_6","23.69","Manufacture of other articles of concrete, plaster and cement"
"nace_23_7","nace_23","23.7","Cutting, shaping and finishing of stone"
"nace_23_70","nace_23_7","23.70","Cutting, shaping and finishing of stone"
"nace_23_9","nace_23","23.9","Manufacture of abrasive products and non-metallic mineral products n.e.c."
"nace_23_91","nace_23_9","23.91","Production of abrasive products"
"nace_23_99","nace_23_9","23.99","Manufacture of other non-metallic mineral products n.e.c."
"nace_24","nace_C","24","Manufacture of basic metals"
"nace_24_1","nace_24","24.1","Manufacture of basic iron and steel and of ferro-alloys"
"nace_24_10","nace_24_1","24.10","Manufacture of basic iron and steel and of ferro-alloys "
"nace_24_2","nace_24","24.2","Manufacture of tubes, pipes, hollow profiles and related fittings, of steel"
"nace_24_20","nace_24_2","24.20","Manufacture of tubes, pipes, hollow profiles and related fittings, of steel"
"nace_24_3","nace_24","24.3","Manufacture of other products of first processing of steel"
"nace_24_31","nace_24_3","24.31","Cold drawing of bars"
"nace_24_32","nace_24_3","24.32","Cold rolling of narrow strip"
"nace_24_33","nace_24_3","24.33","Cold forming or folding"
"nace_24_34","nace_24_3","24.34","Cold drawing of wire"
"nace_24_4","nace_24","24.4","Manufacture of basic precious and other non-ferrous metals"
"nace_24_41","nace_24_4","24.41","Precious metals production"
"nace_24_42","nace_24_4","24.42","Aluminium production"
"nace_24_43","nace_24_4","24.43","Lead, zinc and tin production"
"nace_24_44","nace_24_4","24.44","Copper production"
"nace_24_45","nace_24_4","24.45","Other non-ferrous metal production"
"nace_24_46","nace_24_4","24.46","Processing of nuclear fuel "
"nace_24_5","nace_24","24.5","Casting of metals"
"nace_24_51","nace_24_5","24.51","Casting of iron"
"nace_24_52","nace_24_5","24.52","Casting of steel"
"nace_24_53","nace_24_5","24.53","Casting of light metals"
"nace_24_54","nace_24_5","24.54","Casting of other non-ferrous metals"
"nace_25","nace_C","25","Manufacture of fabricated metal products, except machinery and equipment"
"nace_25_1","nace_25","25.1","Manufacture of structural metal products"
"nace_25_11","nace_25_1","25.11","Manufacture of metal structures and parts of structures"
"nace_25_12","nace_25_1","25.12","Manufacture of doors and windows of metal"
"nace_25_2","nace_25","25.2","Manufacture of tanks, reservoirs and containers of metal"
"nace_25_21","nace_25_2","25.21","Manufacture of central heating radiators and boilers"
"nace_25_29","nace_25_2","25.29","Manufacture of other tanks, reservoirs and containers of metal"
"nace_25_3","nace_25","25.3","Manufacture of steam generators, except central heating hot water boilers"
"nace_25_30","nace_25_3","25.30","Manufacture of steam generators, except central heating hot water boilers"
"nace_25_4","nace_25","25.4","Manufacture of weapons and ammunition"
"nace_25_40","nace_25_4","25.40","Manufacture of weapons and ammunition"
"nace_25_5","nace_25","25.5","Forging, pressing, stamping and roll-forming of metal; powder metallurgy"
"nace_25_50","nace_25_5","25.50","Forging, pressing, stamping and roll-forming of metal; powder metallurgy"
"nace_25_6","nace_25","25.6","Treatment and coating of metals; machining"
"nace_25_61","nace_25_6","25.61","Treatment and coating of metals"
"nace_25_62","nace_25_6","25.62","Machining"
"nace_25_7","nace_25","25.7","Manufacture of cutlery, tools and general hardware"
"nace_25_71","nace_25_7","25.71","Manufacture of cutlery"
"nace_25_72","nace_25_7","25.72","Manufacture of locks and hinges"
"nace_25_73","nace_25_7","25.73","Manufacture of tools"
"nace_25_9","nace_25","25.9","Manufacture of other fabricated metal products"
"nace_25_91","nace_25_9","25.91","Manufacture of steel drums and similar containers"
"nace_25_92","nace_25_9","25.92","Manufacture of light metal packaging "
"nace_25_93","nace_25_9","25.93","Manufacture of wire products, chain and springs"
"nace_25_94","nace_25_9","25.94","Manufacture of fasteners and screw machine products"
"nace_25_99","nace_25_9","25.99","Manufacture of other fabricated metal products n.e.c."
"nace_26","nace_C","26","Manufacture of computer, electronic and optical products"
"nace_26_1","nace_26","26.1","Manufacture of electronic components and boards"
"nace_26_11","nace_26_1","26.11","Manufacture of electronic components"
"nace_26_12","nace_26_1","26.12","Manufacture of loaded electronic boards"
"nace_26_2","nace_26","26.2","Manufacture of computers and peripheral equipment"
"nace_26_20","nace_26_2","26.20","Manufacture of computers and peripheral equipment"
"nace_26_3","nace_26","26.3","Manufacture of communication equipment"
"nace_26_30","nace_26_3","26.30","Manufacture of communication equipment"
"nace_26_4","nace_26","26.4","Manufacture of consumer electronics"
"nace_26_40","nace_26_4","26.40","Manufacture of consumer electronics"
"nace_26_5","nace_26","26.5","Manufacture of instruments and appliances for measuring, testing and navigation; watches and clocks"
"nace_26_51","nace_26_5","26.51","Manufacture of instruments and appliances for measuring, testing and navigation"
"nace_26_52","nace_26_5","26.52","Manufacture of watches and clocks"
"nace_26_6","nace_26","26.6","Manufacture of irradiation, electromedical and electrotherapeutic equipment"
"nace_26_60","nace_26_6","26.60","Manufacture of irradiation, electromedical and electrotherapeutic equipment"
"nace_26_7","nace_26","26.7","Manufacture of optical instruments and photographic equipment"
"nace_26_70","nace_26_7","26.70","Manufacture of optical instruments and photographic equipment"
"nace_26_8","nace_26","26.8","Manufacture of magnetic and optical media"
